date,Y,PX,NAPH,SPREAD,PTA.USD
2015-01-05,336.25,830.0,443.875,386.125,724.0705605
2015-01-06,341.25,808.0,426.375,381.625,715.3234418999999
2015-01-07,344.375,768.75,406.25,362.5,707.4441073
2015-01-08,348.625,770.75,410.0,360.75,706.024734
2015-01-09,340.875,782.75,416.625,366.125,707.5648612000001
2015-01-12,335.75,763.75,410.25,353.5,708.2219374
2015-01-13,287.5,733.0,398.25,334.75,691.3370729
2015-01-14,309.0,733.0,402.125,330.875,690.6966251
2015-01-15,314.75,745.0,418.25,326.75,703.8418372000001
2015-01-16,308.5,744.0,428.375,315.625,697.4547550999999
2015-01-19,327.0,764.0,436.625,327.375,703.8609022999999
2015-01-20,319.375,767.5,434.375,333.125,703.7286535000001
2015-01-21,309.0,783.5,430.75,352.75,708.0334747
2015-01-22,289.25,801.5,430.875,370.625,722.0852043
2015-01-23,277.125,817.0,432.375,384.625,721.6765871
2015-01-26,267.875,793.0,421.875,371.125,701.7682871000001
2015-01-27,283.5,777.0,426.75,350.25,701.2018437999999
2015-01-28,308.5,779.0,440.375,338.625,704.7481748
2015-01-29,316.0,766.5,437.125,329.375,698.9738202999999
2015-01-30,346.125,755.5,445.875,309.625,697.0474422
2015-02-02,365.375,777.0,475.375,301.625,690.7803632
2015-02-03,369.75,848.0,514.25,333.75,708.2549946
2015-02-04,367.5,853.0,523.625,329.375,732.7734226
2015-02-05,357.5,800.0,488.375,311.625,712.9570327
2015-02-06,380.125,830.0,511.875,318.125,729.6280297000001
2015-02-09,383.25,829.0,526.25,302.75,721.8569328
2015-02-10,376.625,829.0,529.125,299.875,714.1557885
2015-02-11,367.25,819.0,522.875,296.125,710.6376512999999
2015-02-12,388.25,826.0,522.875,303.125,711.5890236
2015-02-13,411.625,852.0,543.375,308.625,725.8634762999999
2015-02-26,411.125,893.0,551.625,341.375,747.1353288
2015-02-27,411.125,893.0,550.75,342.25,735.9552402
2015-03-02,379.625,920.0,555.125,364.875,756.1451569
2015-03-03,396.875,920.0,542.375,377.625,767.8933333
2015-03-04,387.5,922.0,552.875,369.125,764.3881364
2015-03-05,376.0,885.0,550.25,334.75,746.6612859
2015-03-06,371.375,886.0,544.625,341.375,736.2770657000001
2015-03-09,389.125,868.0,531.75,336.25,726.4894952000001
2015-03-10,410.875,865.0,523.75,341.25,727.489057
2015-03-11,415.125,856.0,511.625,344.375,719.7277356000001
2015-03-12,399.125,875.0,526.375,348.625,719.8860288
2015-03-13,412.75,862.0,521.125,340.875,718.6329472
2015-03-16,396.75,834.0,498.25,335.75,698.6324627
2015-03-17,386.625,783.0,495.5,287.5,711.4209366
2015-03-18,381.25,798.0,489.0,309.0,707.5676489
2015-03-19,370.875,819.0,504.25,314.75,718.2313155
2015-03-20,360.625,814.0,505.5,308.5,716.0345601
2015-03-23,337.625,841.0,514.0,327.0,728.8736739
2015-03-24,331.125,851.0,531.625,319.375,740.5777847
2015-03-25,346.875,840.0,531.0,309.0,723.1613223999999
2015-03-26,359.875,859.0,569.75,289.25,727.5367734
2015-03-27,355.0,827.0,549.875,277.125,716.6247962
2015-03-30,355.0,799.0,531.125,267.875,706.6218418999999
2015-03-31,362.75,808.0,524.5,283.5,706.2429412
2015-04-01,345.75,819.0,510.5,308.5,709.6679737000001
2015-04-02,368.5,838.0,522.0,316.0,709.9161533
2015-04-07,365.75,875.0,528.875,346.125,743.3301105
2015-04-08,361.25,891.0,525.625,365.375,764.4375516
2015-04-09,367.625,883.0,513.25,369.75,767.655707
2015-04-10,359.0,878.0,510.5,367.5,759.1092422
2015-04-13,362.125,895.0,537.5,357.5,755.6669102999999
2015-04-14,346.125,917.0,536.875,380.125,774.1625022999999
2015-04-15,350.375,928.0,544.75,383.25,803.7632659
2015-04-16,351.0,942.0,565.375,376.625,816.638823
2015-04-17,360.5,935.0,567.75,367.25,814.3140496
2015-04-20,371.625,957.5,569.25,388.25,822.5048383
2015-04-21,378.375,968.0,556.375,411.625,842.1330008
2015-04-22,380.625,954.5,543.375,411.125,845.5575449999999
2015-04-23,379.875,966.5,555.375,411.125,848.387641
2015-04-24,386.0,960.5,580.875,379.625,839.9593796
2015-04-27,384.875,979.5,582.625,396.875,839.2289157
2015-04-28,394.75,965.5,578.0,387.5,834.8920427999999
2015-04-29,390.25,950.5,574.5,376.0,821.2232235
2015-04-30,384.125,955.5,584.125,371.375,824.0778017000001
2015-05-04,371.5,974.0,584.875,389.125,823.4217391
2015-05-06,363.75,1002.0,591.125,410.875,853.7880610999999
2015-05-07,378.25,998.0,582.875,415.125,853.7146623
2015-05-08,372.125,973.0,573.875,399.125,845.1408062
2015-05-11,371.625,989.0,576.25,412.75,847.6683772
2015-05-12,374.0,975.0,578.25,396.75,841.7233691
2015-05-13,365.0,979.0,592.375,386.625,837.4931582
2015-05-14,384.625,970.0,588.75,381.25,823.3555119
2015-05-15,382.875,962.0,591.125,370.875,824.4990856000001
2015-05-18,374.75,957.0,596.375,360.625,822.2181418
2015-05-19,379.75,916.0,578.375,337.625,816.8982036
2015-05-20,373.125,903.0,571.875,331.125,785.9264827000001
2015-05-21,361.0,918.5,571.625,346.875,793.4772188
2015-05-22,364.875,935.5,575.625,359.875,803.6074561
2015-05-26,364.25,919.5,564.5,355.0,789.9834983
2015-05-27,375.625,918.5,563.5,355.0,781.9979971
2015-05-28,380.75,913.5,550.75,362.75,784.7430893999999
2015-05-29,381.125,905.5,559.75,345.75,783.3460289
2015-06-02,377.0,949.5,581.0,368.5,807.4771501
2015-06-03,371.0,942.5,576.75,365.75,819.2269179
2015-06-04,376.625,925.0,563.75,361.25,808.2135624
2015-06-05,370.5,915.0,547.375,367.625,804.8975132999999
2015-06-08,370.25,917.0,558.0,359.0,800.9387644999999
2015-06-09,359.875,930.0,567.875,362.125,798.9514044
2015-06-10,360.375,944.0,597.875,346.125,802.5524882
2015-06-11,357.75,946.0,595.625,350.375,804.4395417999999
2015-06-12,364.25,937.0,586.0,351.0,796.8412284
2015-06-15,368.625,937.0,576.5,360.5,785.9758072000001
2015-06-16,359.875,938.5,566.875,371.625,791.1027594
2015-06-17,356.5,945.0,566.625,378.375,792.4049047
2015-06-18,359.75,943.0,562.375,380.625,788.0180744
2015-06-19,351.75,945.0,565.125,379.875,787.2160554999999
2015-06-23,349.25,941.5,555.5,386.0,793.803073
2015-06-24,347.75,952.0,567.125,384.875,796.63708
2015-06-25,356.25,947.0,552.25,394.75,796.3989534
2015-06-26,352.625,941.5,551.25,390.25,792.8932949
2015-06-29,354.375,928.0,543.875,384.125,794.388306
2015-06-30,365.125,919.0,547.5,371.5,778.9077039
2015-07-01,371.625,911.5,547.75,363.75,776.6824644999999
2015-07-02,370.125,921.5,543.25,378.25,777.4354046
2015-07-03,347.375,915.5,543.375,372.125,782.7131410000001
2015-07-06,347.5,896.5,524.875,371.625,761.163289
2015-07-07,360.625,878.5,504.5,374.0,738.7279587999999
2015-07-08,352.875,856.5,491.5,365.0,694.3895183999999
2015-07-09,362.375,882.5,497.875,384.625,726.4953772999999
2015-07-10,351.125,887.5,504.625,382.875,729.9082908
2015-07-13,356.375,871.5,496.75,374.75,712.4851327
2015-07-14,341.125,867.5,487.75,379.75,715.0105612000001
2015-07-15,341.0,866.5,493.375,373.125,715.9680534
2015-07-16,339.75,856.5,495.5,361.0,707.7774857999999
2015-07-20,340.125,875.0,510.125,364.875,718.6145424
